,Fire_Year,Smoke_Estimate,yearly_avg_aqi
0,1964,4.341712531635096,5.386648422871957
1,1965,4.0,6.132075471698113
2,1966,6.274285126103107,4.641221374045801
3,1967,7.6933386241736805,53.58415841584159
4,1968,6.949404323160556,63.722527472527474
5,1969,5.281618385140189,37.463157894736845
6,1970,8.65961081860074,28.565818077803208
7,1971,6.4594924066494315,19.668478260869566
8,1972,6.8414394769201055,22.870775347912524
9,1973,6.1898425335986,38.68986083499006
10,1974,11.581232983840325,32.5912294440094
11,1975,8.527433407459755,31.440652818991097
12,1976,8.809554348561772,28.36122405307083
13,1977,6.471895707971057,35.202399183256766
14,1978,7.378469660664669,41.741252302025785
15,1979,15.045614968534125,48.21428571428572
16,1980,14.989823409125231,49.52812160694897
17,1981,12.667092544665888,39.08065512978986
18,1982,5.853369158361937,44.43309720582448
19,1983,8.228941245056404,43.43795620437956
20,1984,11.35235119283293,46.06522462562396
21,1985,16.569271216396068,45.01344276213386
22,1986,12.352501768699462,40.56308330452817
23,1987,18.553993278665153,44.37480916030535
24,1988,19.202177784940915,44.99547639242296
25,1989,20.37800290413486,42.79003558718861
26,1990,12.119668695651232,43.66749703440095
27,1991,8.09805308373971,44.15640535372849
28,1992,12.708543023142788,48.59491486424298
29,1993,14.898558652510197,51.514675435391545
30,1994,21.87982853486877,52.03448275862069
31,1995,17.943078493899993,55.66068652075111
32,1996,22.464380656264957,53.38246225319397
33,1997,12.137305183147497,51.67020038784744
34,1998,15.571534194647636,54.435624277104765
35,1999,20.482622625368528,54.849140860110666
36,2000,27.482062173236795,51.37145844744311
37,2001,21.43188239260776,49.29057750759878
38,2002,21.553464540780126,53.063239948423394
39,2003,22.09032459171377,53.22813620071685
40,2004,18.82147391080253,45.14917218543047
41,2005,32.035571967379546,47.915494252873565
42,2006,38.82966073994278,47.89663368048053
43,2007,30.90777310679372,47.03251222996666
44,2008,29.935973981647837,47.256230426536106
45,2009,31.90047300694256,41.14693596313682
46,2010,27.79512191361891,41.402403251457855
47,2011,45.47539514777083,48.34356904139506
48,2012,35.89507536474495,46.57247405444623
49,2013,25.257060296072538,43.090722246345344
50,2014,22.14700466413732,40.82682320441989
51,2015,25.369598981250327,36.65146909827761
52,2016,37.03144562044215,38.51753492844618
53,2017,43.47324384979511,42.102318478411775
54,2018,40.7255234229919,41.111853134361176
55,2019,37.441862823108515,37.509831699439
56,2020,64.0,45.77065658686826
57,2021,,47.4924894424547
58,2022,,40.91978565082186
59,2023,,44.96745321399512
60,2024,,42.166169228473365
